agent_id,trip_id,from_zone_id,to_zone_id,origin_node_id,destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,14,2,5037,11123,930.05,934.60,4.55,1,1,1,5.00,1,10,2.66,
1,0,21,18,6253,1286,930.05,941.20,11.15,1,1,1,20.00,1,15,6.01,
2,0,7,38,11281,1397,930.09,933.30,3.21,1,1,1,10.00,1,10,1.34,
3,0,16,14,11827,5037,930.19,932.90,2.71,1,1,1,30.00,1,0,1.53,
4,0,18,27,1286,1346,930.22,936.60,6.38,1,1,1,10.00,1,5,3.72,
5,0,28,26,1359,1323,930.28,932.10,1.82,1,1,1,10.00,1,5,0.80,
6,0,24,9,1325,5356,930.35,934.60,4.25,1,1,1,30.00,1,5,1.89,
7,0,21,17,6253,1289,930.39,939.80,9.41,1,1,1,40.00,1,15,5.05,
8,0,3,25,11159,1354,930.40,933.20,2.80,1,1,1,5.00,1,5,1.30,
9,0,27,1,1346,5577,930.43,935.40,4.97,1,1,1,10.00,1,5,3.19,
10,0,21,27,6253,1346,930.44,937.00,6.56,1,1,1,1.00,1,15,3.63,
11,0,5,10,11282,5929,930.46,936.00,5.54,1,1,1,20.00,1,10,2.86,
12,0,36,11,1299,5119,930.50,936.10,5.60,1,1,1,10.00,1,10,2.39,
13,0,13,37,5034,1349,930.51,937.80,7.29,1,1,1,30.00,1,5,4.39,
14,0,4,26,11180,1323,930.60,934.30,3.70,1,1,1,10.00,1,10,2.07,
15,0,24,30,1325,1360,930.66,933.00,2.34,1,1,1,15.00,1,5,0.84,
16,0,8,41,10847,5578,930.68,939.40,8.72,1,1,1,30.00,1,5,5.13,
17,0,21,31,6253,1314,930.73,939.30,8.57,1,1,1,20.00,1,5,4.31,
18,0,39,38,1404,1397,930.77,937.30,6.53,1,1,1,30.00,1,10,2.96,
19,0,24,41,1325,5578,930.80,939.60,8.80,1,1,1,20.00,1,5,4.91,
20,0,9,28,5356,1359,930.81,933.00,2.19,1,1,1,10.00,1,5,1.04,
21,0,38,16,1397,11827,930.84,941.00,10.16,1,1,1,15.00,1,15,5.78,
22,0,37,7,1349,11281,930.87,934.40,3.53,1,1,1,10.00,1,0,1.58,
23,0,3,11,11159,5119,930.88,934.30,3.42,1,1,1,20.00,1,10,1.93,
24,0,3,4,11159,11180,930.88,933.60,2.72,1,1,1,10.00,1,10,1.57,
25,0,3,41,11159,5578,930.89,935.60,4.71,1,1,1,60.00,1,5,3.20,
26,0,27,26,1346,1323,930.89,933.30,2.41,1,1,1,10.00,1,10,1.26,
27,0,19,3,1352,11159,930.92,934.30,3.38,1,1,1,30.00,1,0,1.87,
28,0,28,1,1359,5577,930.93,937.40,6.47,1,1,1,20.00,1,15,4.09,
29,0,15,31,4899,1316,930.96,937.20,6.24,1,1,1,15.00,1,15,3.38,
30,0,25,19,1354,1352,930.99,935.20,4.21,1,1,1,30.00,1,10,1.69,
31,0,5,36,11282,1299,931.00,940.10,9.10,1,1,1,30.00,1,15,5.54,
32,0,16,34,11827,1319,931.02,933.60,2.58,1,1,1,15.00,1,5,1.35,
33,0,18,32,1286,1285,931.03,934.20,3.17,1,1,1,60.00,1,10,1.46,
34,0,31,5,1316,11282,931.09,936.10,5.01,1,1,1,15.00,1,5,3.06,
35,0,12,39,11151,1404,931.15,936.80,5.65,1,1,1,30.00,1,10,2.44,
36,0,3,24,11159,1325,931.17,935.60,4.43,1,1,1,10.00,1,5,2.22,
37,0,3,9,11159,5356,931.18,936.10,4.92,1,1,1,20.00,1,5,2.57,
38,0,41,17,5578,1289,931.18,933.30,2.12,1,1,1,30.00,1,10,1.21,
39,0,35,18,1290,1286,931.19,934.70,3.51,1,1,1,1.00,1,5,1.48,
40,0,27,6,1346,5238,931.20,935.30,4.10,1,1,1,10.00,1,0,2.40,
41,0,1,11,5577,5119,931.32,939.10,7.78,1,1,1,15.00,1,10,4.37,
42,0,1,41,5577,5578,931.33,932.50,1.17,1,1,1,5.00,1,5,0.62,
43,0,24,41,1325,5578,931.36,939.90,8.54,1,1,1,5.00,1,0,4.91,
44,0,31,39,1318,1404,931.36,937.00,5.64,1,1,1,30.00,1,10,2.63,
45,0,37,26,1349,1323,931.38,934.40,3.02,1,1,1,30.00,1,10,1.29,
46,0,21,5,6253,11282,931.39,935.20,3.81,1,1,1,30.00,1,5,2.14,
47,0,3,14,11159,5037,931.41,938.10,6.69,1,1,1,10.00,1,10,4.16,
48,0,24,32,1325,1285,931.45,939.20,7.75,1,1,1,10.00,1,15,4.20,
49,0,35,20,1290,1356,931.48,939.60,8.12,1,1,1,30.00,1,5,3.88,
50,0,3,21,11159,6253,931.52,937.50,5.98,1,1,1,30.00,1,15,3.10,
51,0,21,16,6253,11827,931.53,941.30,9.77,1,1,1,20.00,1,5,4.98,
52,0,2,40,11123,1296,931.54,935.40,3.86,1,1,1,1.00,1,0,2.13,
53,0,34,7,1320,11281,931.55,937.80,6.25,1,1,1,15.00,1,5,3.73,
54,0,4,35,11180,1290,931.56,938.40,6.84,1,1,1,20.00,1,5,4.07,
55,0,14,17,5037,1289,931.56,935.60,4.04,1,1,1,30.00,1,15,2.10,
56,0,19,37,1352,1353,931.58,934.70,3.12,1,1,1,10.00,1,5,1.60,
57,0,36,34,1299,1320,931.66,936.40,4.74,1,1,1,5.00,1,10,2.28,
58,0,9,38,5356,1397,931.68,936.90,5.22,1,1,1,30.00,1,5,2.51,
59,0,13,3,5034,11159,931.68,937.70,6.02,1,1,1,10.00,1,5,3.67,
60,0,33,32,1351,1285,931.73,938.50,6.77,1,1,1,10.00,1,10,3.85,
61,0,2,11,11123,5119,931.74,938.00,6.26,1,1,1,30.00,1,10,3.44,
62,0,3,13,11159,5034,931.74,937.60,5.86,1,1,1,15.00,1,5,3.67,
63,0,17,11,1289,5119,931.74,939.30,7.56,1,1,1,30.00,1,15,3.94,
64,0,3,34,11159,1320,931.74,934.00,2.26,1,1,1,5.00,1,10,1.29,
65,0,28,3,1359,11159,931.75,934.60,2.85,1,1,1,1.00,1,5,1.66,
66,0,3,11,11159,5119,931.75,935.30,3.55,1,1,1,15.00,1,5,1.93,
67,0,2,41,11123,5578,931.76,934.30,2.54,1,1,1,5.00,1,5,1.70,
68,0,17,41,1289,5578,931.76,933.90,2.14,1,1,1,10.00,1,5,1.21,
69,0,1,9,5577,5356,931.76,941.00,9.24,1,1,1,10.00,1,10,5.00,
70,0,1,24,5577,1325,931.76,941.00,9.24,1,1,1,5.00,1,15,4.66,
71,0,3,41,11159,5578,931.78,936.60,4.82,1,1,1,15.00,1,5,3.20,
72,0,12,18,11151,1286,931.79,937.60,5.81,1,1,1,15.00,1,5,3.00,
73,0,6,11,5238,5119,931.90,939.60,7.70,1,1,1,30.00,1,15,4.07,
74,0,28,32,1359,1285,931.92,938.00,6.08,1,1,1,30.00,1,10,3.64,
75,0,15,40,4899,1296,931.93,933.90,1.97,1,1,1,30.00,1,5,0.94,
76,0,6,41,5238,5578,931.94,940.70,8.76,1,1,1,5.00,1,5,5.34,
77,0,34,27,1322,1348,931.96,934.30,2.34,1,1,1,30.00,1,5,1.25,
78,0,31,23,8002,1361,932.00,938.00,6.00,1,1,1,10.00,1,5,3.01,
79,0,1,14,5577,5037,932.11,935.60,3.49,1,1,1,15.00,1,10,2.03,
80,0,18,20,1286,1357,932.16,943.40,11.24,1,1,1,30.00,1,10,5.89,
81,0,35,38,1290,1397,932.16,941.70,9.54,1,1,1,5.00,1,10,5.34,
82,0,16,36,11827,1299,932.19,935.20,3.01,1,1,1,1.00,1,15,1.60,
83,0,9,22,5356,3689,932.30,933.60,1.30,1,1,1,20.00,1,5,0.52,
84,0,17,24,1289,1325,932.31,939.40,7.09,1,1,1,5.00,1,5,3.32,
85,0,17,9,1289,5356,932.31,941.40,9.09,1,1,1,10.00,1,5,4.57,
86,0,34,41,1322,5578,932.31,936.30,3.99,1,1,1,5.00,1,0,2.77,
87,0,1,21,5577,6253,932.31,943.20,10.89,1,1,1,10.00,1,5,5.54,
